Detección de padecimientos. Hipertensión arterial. Delegaciones,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Total,6595050,6691400,6689094,9204178,38065529,7864327,7964251,5448546,7043837,7551426,8901832,10238512,11783441,11911067,11197813,12640216,12671861,12593308,12202280
     Aguascalientes,86115,86470,96843,129778,528131,96980,104359,65613,110398,120258,140893,163207,196970,168933,176456,201410,194528,211310,185357
     Baja California,177741,190507,190848,285235,1266539,249067,266435,192236,274282,246063,312758,391910,538757,527778,509785,566390,497872,546495,512157
     Baja California Sur,33129,38349,36716,44330,366581,56855,64864,41888,61282,62594,92767,96239,115209,121762,103563,97565,109267,101991,105735
     Campeche,41887,44928,47164,70308,334545,63340,67416,42206,36929,39969,67600,69687,77536,85037,81052,85993,102531,94881,79592
     Coahuila ,244855,277398,300429,470890,1763803,365864,362275,225518,264607,289983,340710,390250,441006,448588,394544,464005,494213,516598,528650
     Colima,52895,54079,43538,63057,284193,62070,62670,39920,50683,60331,71544,82829,101134,87020,93106,98868,104281,109007,108561
     Chiapas,104351,107994,103264,128826,527968,105163,113461,116521,151370,170919,178676,170402,179945,183905,180896,204783,196324,192911,185940
     Chihuahua,241928,261404,312059,379003,1779298,332970,333521,197576,210369,229386,251176,349362,428073,424368,413624,416534,441229,406442,348219
     D.F. Norte,431154,448183,399112,638132,2136547,459068,382450,272077,547041,470197,485932,490910,564084,554271,556759,747549,785579,806194,858790
     D.F. Sur,435694,438219,445732,594945,1785820,434576,439631,286933,406990,597907,567753,723173,782401,833837,778808,810255,839566,852996,847858
     Durango,141986,145399,125677,157294,674984,135165,135180,99159,104142,146280,196668,253164,279808,275521,209617,199834,205215,207568,220172
     Guanajuato,293559,282579,270903,369268,1700198,342812,363322,294177,304577,379942,402472,412091,441834,414109,334067,326205,352408,326085,340449
     Guerrero,88826,95362,114956,145135,502504,133060,140123,136487,139248,158133,157374,166615,161940,159840,157145,183165,183311,164406,149926
     Hidalgo,67122,65324,74449,171127,617061,113442,113198,72235,74451,78427,102512,140287,175334,171493,163800,166998,153793,150396,106540
     Jalisco,549937,536930,492549,661998,2899975,594718,606756,471647,602171,517668,650256,792121,915947,954070,922120,969930,955150,953661,992035
     México Oriente,453927,469581,474766,603600,2646656,636609,661089,426973,464879,524263,683549,920631,1133195,1113971,1005757,1072226,936772,845759,759254
     México Poniente,263021,287466,266956,438503,1457250,272932,280607,211175,201698,240159,318977,358584,499444,471043,469811,513196,459457,507189,506457
     Michoacán,206082,222621,188558,293055,1056693,206967,204467,180419,230012,215660,212781,225902,260343,253864,230561,287868,304004,291359,280214
     Morelos,98085,100070,92730,123194,664657,131621,127308,78212,86849,127784,183185,204615,207423,191004,155791,111280,153207,141104,147855
     Nayarit,51648,72727,64258,63947,337912,80105,84515,72446,66017,64575,83034,110108,116921,121193,119546,134709,123136,115046,101418
     Nuevo León,482644,491091,514789,661514,1884665,470580,538905,286572,501691,557365,756967,836729,956185,1082555,1041159,1183004,1230447,1323796,1230481
     Oaxaca,84541,92632,85764,75068,509397,94893,93439,55098,82596,73218,95617,127169,129013,122572,127181,133215,135765,132630,128741
     Puebla,264512,223121,211236,247998,1569263,294468,284798,160158,313852,340171,390937,392399,384041,374821,338234,535152,476164,425160,411382
     Querétaro,92167,84097,90888,243883,690237,127207,129073,108082,170312,141763,156731,176531,181138,186990,185287,186260,191887,204998,193087
     Quintana Roo,72610,72448,59327,111093,513706,92974,107562,77033,76046,102298,105165,82951,100259,102974,113085,153642,215811,200579,200660
     San Luis Potosí,96229,100001,141515,199536,962247,170277,163067,124622,171143,168704,194530,204998,216483,229295,283207,306467,321375,310434,303288
     Sinaloa,273123,245492,229446,298158,1727005,286875,280789,137501,167353,200090,231808,334832,385231,402451,315301,369367,380072,367065,352352
     Sonora,192583,195850,232402,262850,992985,221904,231914,162501,195494,231844,233885,296642,347072,359681,323917,396684,374011,383108,354032
     Tabasco,70789,78804,74711,97669,306731,72304,79210,58134,72430,69749,74439,72047,106256,115702,107178,131834,156694,151328,150103
     Tamaulipas,230584,250463,270038,299629,1241757,249222,287269,183559,241111,261861,371127,364551,391494,461172,445122,472063,488045,437818,441678
     Tlaxcala,51328,58139,65877,60180,321873,64125,63408,47377,52155,58929,63026,71132,78068,75209,76631,83669,92242,88358,89937
     Veracruz Norte,178963,170953,175684,284114,1453839,274556,281674,245043,283480,273848,291038,309567,360293,354192,332389,501131,510276,545022,497142
     Veracruz Sur,226760,186455,173411,262633,1149808,277783,236541,136891,164554,141084,207641,212385,246416,210038,182926,232405,206716,187989,185960
     Yucatán,140416,142265,152250,203293,950295,198204,194859,105264,126560,146282,171719,183302,223212,210121,207178,226953,244647,228147,231902
     Zacatecas,73859,73999,70249,64935,460406,95571,78096,37293,37065,43722,56585,61190,60976,61687,62210,69607,55866,65478,66356
